COUNTY_ID,FYEAR,YIELD
AL_PIKE,1998,74.0
AL_RUSSELL,1998,40.0
AL_AUTAUGA,1997,75.0
AL_BULLOCK,1997,60.0
AL_DALLAS,1997,75.0
AL_ELMORE,1997,79.0
AL_GREENE,1997,86.0
AL_HALE,1997,81.0
AL_LOWNDES,1997,99.0
AL_MACON,1997,94.0
AL_MARENGO,1997,51.0
AL_MONTGOMERY,1997,74.0
AL_PERRY,1997,66.0
AL_SUMTER,1997,76.0
AL_BALDWIN,1997,99.0
AL_BUTLER,1997,77.0
AL_CONECUH,1997,80.0
AL_ESCAMBIA,1997,109.0
AL_MOBILE,1997,91.0
AL_MONROE,1997,101.0
AL_WASHINGTON,1997,84.0
AL_WILCOX,1997,89.0
AL_BLOUNT,1997,94.0
AL_CALHOUN,1997,90.0
AL_CHEROKEE,1997,73.0
AL_CULLMAN,1997,92.0
AL_DE_KALB,1997,86.0
AL_ETOWAH,1997,87.0
AL_JACKSON,1997,79.0
AL_MARSHALL,1997,78.0
AL_COLBERT,1997,100.0
AL_LAUDERDALE,1997,76.0
AL_LAWRENCE,1997,108.0
AL_LIMESTONE,1997,86.0
AL_MADISON,1997,83.0
AL_MARION,1997,65.0
AL_MORGAN,1997,88.0
AL_FAYETTE,1997,70.0
AL_LAMAR,1997,59.0
AL_PICKENS,1997,90.0
AL_RANDOLPH,1997,66.0
AL_SHELBY,1997,75.0
AL_TALLADEGA,1997,117.0
AL_TUSCALOOSA,1997,99.0
AL_BARBOUR,1997,88.0
AL_COFFEE,1997,88.0
AL_COVINGTON,1997,87.0
AL_CRENSHAW,1997,91.0
AL_DALE,1997,86.0
AL_GENEVA,1997,85.0
AL_HENRY,1997,91.0
AL_HOUSTON,1997,97.0
AL_PIKE,1997,94.0
AL_RUSSELL,1997,75.0
AL_AUTAUGA,1996,38.0
AL_DALLAS,1996,70.0
AL_ELMORE,1996,41.0
AL_HALE,1996,82.0
AL_MARENGO,1996,81.0
AL_MONTGOMERY,1996,73.0
AL_PERRY,1996,64.0
AL_SUMTER,1996,67.0
AL_BALDWIN,1996,102.0
AL_BUTLER,1996,68.0
AL_CONECUH,1996,70.0
AL_ESCAMBIA,1996,101.0
AL_MOBILE,1996,95.0
AL_MONROE,1996,92.0
AL_WASHINGTON,1996,75.0
AL_WILCOX,1996,61.0
AL_BLOUNT,1996,94.0
